,Title,Date,Month,Episode,id,painting_index,img_src,youtube_src,num_colors,colors,subject,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Aurora_Borealis,Barn,Beach,Boat,Bridge,Building,Bushes,Cabin,Cactus,Cirrus,Cliff,Clouds,Conifer,Cumulus,Deciduous,Diane_Andre,Dock,Farm,Fence,Fire,Flowers,Fog,Grass,Guest,Hills,Lake,Lakes,Lighthouse,Mill,Moon,Mountain,Mountains,Night,Ocean,Palm_Trees,Path,Person,Portrait,River,Rocks,Snow,Snowy_Mountain,Steve_Ross,Structure,Sun,Tree,Trees,Waterfall,Waves,Windmill,Winter
95,Mountain Range,1986-03-13,March,S08E11,102,200,https://www.twoinchbrush.com/images/painting200.png,https://www.youtube.com/embed/V_l6olF3yHI,10,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Conifer, Cumulus, Deciduous, Guest, Lake, Mountain, Mountains, Snowy_Mountain, Steve_Ross, Tree, Trees","#4E1500, #DB0000, #FFEC00, #FFB800, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
96,Lonely Retreat,1986-03-20,March,S08E12,103,201,https://www.twoinchbrush.com/images/painting201.png,https://www.youtube.com/embed/qTDQt_PdlYc,10,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Cabin, Clouds, Conifer, Snow, Structure, Tree, Winter","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
97,Northern Lights,1986-03-27,March,S08E13,104,202,https://www.twoinchbrush.com/images/painting202.png,https://www.youtube.com/embed/vgbMONXc9Cs,9,"Alizarin Crimson, Black Gesso, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown","Aurora_Borealis, Cabin, Conifer, Deciduous, Lake, Mountain, Night, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","#4E1500, #000000, #DB0000, #5F2E1F, #000000, #0C0040, #102E3C, #FFFFFF, #221B15",1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
98,Winter Evergreens,1986-04-30,April,S09E01,105,177,https://www.twoinchbrush.com/images/painting177.png,https://www.youtube.com/embed/O6L5YPt9CeU,9,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Cirrus, Clouds, Conifer, Mountain, Mountains, Snow, Snowy_Mountain, Sun, Tree, Trees, Winter","#4E1500, #DB0000, #5F2E1F, #000000, #0C0040, #021E44, #FFFFFF, #221B15, #C79B00",0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
99,Surf'S Up,1986-05-07,May,S09E02,106,178,https://www.twoinchbrush.com/images/painting178.png,https://www.youtube.com/embed/ZKxFvyyOBPQ,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Beach, Cliff, Clouds, Cumulus, Ocean, Rocks, Waves","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFFFFF, #000000, #0C0040, #021E44, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
100,Red Sunset,1986-05-14,May,S09E03,107,179,https://www.twoinchbrush.com/images/painting179.png,https://www.youtube.com/embed/e5JhYi_G-l0,11,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Lake, Tree, Trees","#4E1500, #000000, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #FFFFFF, #221B15, #C79B00",1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
101,Meadow Road,1986-05-21,May,S09E04,108,180,https://www.twoinchbrush.com/images/painting180.png,https://www.youtube.com/embed/u5VT_WGM0kg,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, Mountain, Mountains, Path, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
102,Winter Oval,1986-05-28,May,S09E05,109,181,https://www.twoinchbrush.com/images/painting181.png,https://www.youtube.com/embed/pYWiLm_-sXw,7,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","Bushes, Cabin, Conifer, Fog, Mountain, River, Snowy_Mountain, Structure, Tree, Trees","#4E1500, #DB0000, #5F2E1F, #000000, #0C0040, #FFFFFF, #221B15",0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
103,Secluded Beach,1986-06-04,June,S09E06,110,182,https://www.twoinchbrush.com/images/painting182.png,https://www.youtube.com/embed/WGUcw_kFvzU,11,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Beach, Clouds, Cumulus, Ocean, Rocks, Waves","#4E1500, #000000, #DB0000, #FFEC00, #5F2E1F, #000000, #0C0040, #021E44, #FFFFFF, #221B15, #C79B00",1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
104,Forest Hills,1986-06-11,June,S09E07,111,183,https://www.twoinchbrush.com/images/painting183.png,https://www.youtube.com/embed/E3XW_Zp238U,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Conifer, Deciduous, Mountain, Mountains, River, Rocks, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0
105,Country Charm,1986-07-02,July,S09E10,114,186,https://www.twoinchbrush.com/images/painting186.png,https://www.youtube.com/embed/9wp8NRzCJnw,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",,"#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Nature'S Paradise,1986-07-09,July,S09E11,115,187,https://www.twoinchbrush.com/images/painting187.png,https://www.youtube.com/embed/7yU55PUls2c,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Cumulus, Deciduous, Grass, Mountain, Mountains, River, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
107,Towering Peaks,1986-09-03,September,S10E01,118,163,https://www.twoinchbrush.com/images/painting163.png,https://www.youtube.com/embed/1s58rW0_LN4,13,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Hills, Lake, Mountain, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
108,Cabin At Sunset,1986-09-10,September,S10E02,119,164,https://www.twoinchbrush.com/images/painting164.png,https://www.youtube.com/embed/a6Wil3OXNuI,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Cabin, Clouds, Conifer, Fence, Grass, Structure, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
109,Twin Falls,1986-09-17,September,S10E03,120,165,https://www.twoinchbrush.com/images/painting165.png,https://www.youtube.com/embed/cMwkY8ojRik,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Conifer, Deciduous, Grass, Hills, River, Rocks, Tree, Trees, Waterfall","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
110,Secluded Bridge,1986-09-24,September,S10E04,121,166,https://www.twoinchbrush.com/images/painting166.png,https://www.youtube.com/embed/vrAMRxBB5KI,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bridge, Deciduous, River, Rocks, Structure, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
111,Ocean Breeze,1986-10-01,October,S10E05,122,167,https://www.twoinchbrush.com/images/painting167.png,https://www.youtube.com/embed/XZmdzfvXRuw,12,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Cumulus, Ocean, Rocks, Waves","#4E1500, #000000, #DB0000, #FFEC00, #5F2E1F, #000000, #0C0040, #102E3C, #021E44, #FFFFFF, #221B15, #C79B00",1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
112,Autumn Woods,1986-10-08,October,S10E06,123,168,https://www.twoinchbrush.com/images/painting168.png,https://www.youtube.com/embed/vKyMU5Z8cDI,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
113,Winter Solitude,1986-10-15,October,S10E07,124,170,https://www.twoinchbrush.com/images/painting170.png,https://www.youtube.com/embed/ov4YaCQB9co,7,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","Bushes, Deciduous, Snow, Tree, Trees, Winter","#4E1500, #DB0000, #5F2E1F, #000000, #0C0040, #FFFFFF, #221B15",0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
114,Golden Sunset,1986-10-22,October,S10E08,125,171,https://www.twoinchbrush.com/images/painting171.png,https://www.youtube.com/embed/CiNDyckERXQ,12,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Deciduous, Lake, Snow, Sun, Tree, Trees","#4E1500, #000000, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
115,Mountain Oval,1986-10-29,October,S10E09,126,172,https://www.twoinchbrush.com/images/painting172.png,https://www.youtube.com/embed/Qj6lMtnCt8o,11,"Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Cirrus, Clouds, Conifer, Deciduous, Guest, Lake, Mountain, Mountains, Snowy_Mountain, Steve_Ross, Tree, Trees","#DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
116,Ocean Sunset,1986-11-05,November,S10E10,127,173,https://www.twoinchbrush.com/images/painting173.png,https://www.youtube.com/embed/OJ_xqtvZf3o,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","Beach, Clouds, Ocean, Rocks, Waves","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #FFFFFF, #000000, #0C0040, #021E44, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117,Triple View,1986-11-12,November,S10E11,128,174,https://www.twoinchbrush.com/images/painting174.png,https://www.youtube.com/embed/zoTeyliLn5o,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Cabin, Conifer, Deciduous, Grass, Mountain, Mountains, Path, Snowy_Mountain, Structure, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
118,Winter Frost,1986-11-19,November,S10E12,129,175,https://www.twoinchbrush.com/images/painting175.png,https://www.youtube.com/embed/8satX-hLkuI,9,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","Clouds, Conifer, Deciduous, Mountain, Mountains, Snow, Snowy_Mountain, Sun, Tree, Trees, Winter","#4E1500, #DB0000, #FFEC00, #5F2E1F, #000000, #0C0040, #021E44, #FFFFFF, #221B15",0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
119,Lakeside Cabins,1986-11-26,November,S10E13,130,176,https://www.twoinchbrush.com/images/painting176.png,https://www.youtube.com/embed/1l_TsfCIb_I,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Cabin, Clouds, Cumulus, Deciduous, Grass, Lake, Path, Rocks, Structure, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
120,Mountain Stream,1986-12-31,December,S11E01,131,150,https://www.twoinchbrush.com/images/painting150.png,https://www.youtube.com/embed/xdFCj6BzQio,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Conifer, Grass, Mountain, River, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
121,Country Cabin,1987-01-07,January,S11E02,132,151,https://www.twoinchbrush.com/images/painting151.png,https://www.youtube.com/embed/Dkww2nHpuZw,7,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown","Bushes, Cabin, Clouds, Conifer, Deciduous, Snow, Structure, Tree, Trees, Winter","#4E1500, #DB0000, #5F2E1F, #000000, #021E44, #FFFFFF, #221B15",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
122,Daisy Delight,1987-01-14,January,S11E03,133,152,https://www.twoinchbrush.com/images/painting152.png,https://www.youtube.com/embed/HuHC1RqtvDA,10,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Conifer, Fence, Flowers, Tree, Trees","#4E1500, #FFEC00, #5F2E1F, #FFFFFF, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
123,Hidden Stream,1987-01-21,January,S11E04,134,153,https://www.twoinchbrush.com/images/painting153.png,https://www.youtube.com/embed/JGzTg8fCj4w,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Deciduous, River, Tree, Trees, Waterfall","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
124,Towering Glacier,1987-01-28,January,S11E05,135,154,https://www.twoinchbrush.com/images/painting154.png,https://www.youtube.com/embed/67vdGbA3Xkg,12,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Clouds, Conifer, Cumulus, Grass, Mountain, River, Rocks, Snowy_Mountain, Tree, Trees, Waterfall","#4E1500, #000000, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0
125,Oval Barn,1987-02-04,February,S11E06,136,155,https://www.twoinchbrush.com/images/painting155.png,https://www.youtube.com/embed/HqBhCibidNM,6,"Bright Red, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown","Barn, Bushes, Clouds, Cumulus, Deciduous, Snow, Structure, Tree, Trees, Winter","#DB0000, #5F2E1F, #000000, #021E44, #FFFFFF, #221B15",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
126,Lakeside Path,1987-02-11,February,S11E07,137,156,https://www.twoinchbrush.com/images/painting156.png,https://www.youtube.com/embed/1yjGoJokbZg,12,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, Lake, Path, Rocks, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #021E44, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
127,Sunset Oval,1987-02-18,February,S11E08,138,157,https://www.twoinchbrush.com/images/painting157.png,https://www.youtube.com/embed/9xG6IzcGotI,11,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","Bushes, Clouds, Conifer, Cumulus, Deciduous, Lake, Mountain, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #5F2E1F, #FFB800, #000000, #0C0040, #0A3410, #FFFFFF, #221B15, #C79B00",0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
